id,english word,type,chinese meaning,sentence1,sentence2,sentence3
1,efficient,adj,有效率的；有能力的；生效的,The new system is more efficient than the old one.,She is an efficient manager who gets things done quickly.,This medicine is efficient against the common cold.
2,privacy,n,隐私；秘密；隐居；隐居处,Everyone has the right to privacy.,He values his privacy and rarely gives interviews.,The cabin in the woods offered complete privacy.
3,susceptible,adj,易受影响的；易感动的；容许……的,Children are more susceptible to colds than adults.,She is susceptible to flattery.,The contract is susceptible to modification.
4,oversee,vt,监督；审查；俯瞰；偷看到，无意中看到,He was hired to oversee the construction project.,The manager will oversee the team's work.,From the hilltop you can oversee the entire city.
5,approach,v/n,走近；处理；临近；方法；接洽,The train began to approach the station.,We need a new approach to solve this problem.,He decided to approach his boss for a raise.
6,formulate,vt,规划；用公式表示；明确地表达,The scientist formulated a new theory.,He struggled to formulate a response.,They formulated a plan to reduce costs.
7,producer,n,制作人，制片人；生产者；发生器,She is a famous film producer.,The country is a major oil producer.,Green plants are producers in the food chain.
8,minimize,vt/vi,使减到最少；小看；最小化,We should minimize the risk of failure.,Don't minimize the importance of this issue.,Click the button to minimize the window.
9,idiom,n,成语，习语；土话,""Break a leg"" is a common idiom in theater.",Learning idioms is important for mastering a language.,He spoke in the local idiom.
10,stem cell,n,干细胞,Stem cell research holds promise for treating many diseases.,These stem cells can differentiate into various cell types.,The patient received a stem cell transplant.
11,campus,n,（大学）校园；大学；校园内的草地,The university campus is beautiful in the autumn.,She lives on campus during the school year.,The new library is the centerpiece of the campus.
12,molecule,n,分子；微小颗粒，微粒,A molecule of water contains two hydrogen atoms and one oxygen atom.,The scientist studied the structure of the molecule.,Dust molecules floated in the beam of light.
13,institution,n,制度；建立；公共机构；习俗,The bank is a major financial institution.,Marriage is a social institution in many cultures.,The institution of new rules was met with resistance.
14,taxation,n,课税，征税；税款,The government increased taxation on luxury goods.,Taxation is necessary to fund public services.,Many people are unhappy about the high level of taxation.
15,coherence,n,一致；连贯性；凝聚,His essay lacked coherence and was difficult to follow.,The coherence of the group was strong.,There is a lack of coherence between the two policies.
16,dispatch,v/n,派遣；迅速处理；杀死；急件；报道,The president dispatched troops to the disaster area.,The courier will dispatch the package this afternoon.,The newspaper received a dispatch from the war correspondent.
17,nausea,n,恶心，晕船；极端的憎恶,The motion of the boat caused severe nausea.,She felt a wave of nausea after smelling the rotten food.,He looked at the crime scene with a feeling of nausea.
18,nutrient cycle,n,营养循环,The nutrient cycle is essential for ecosystem health.,Decomposers play a key role in the nutrient cycle.,Farmers try to mimic natural nutrient cycles to improve soil fertility.
19,crucial,adj,重要的；决定性的；定局的；决断的,This step is crucial to the success of the project.,The witness provided crucial evidence in the trial.,Effective communication is crucial for a healthy relationship.
20,compensate,vi/vt,补偿，赔偿；抵消；付报酬,The company will compensate employees for their overtime.,Nothing can compensate for the loss of a loved one.,He worked hard to compensate for his lack of experience.
21,constitution,n,宪法；章程；构造；组成；体格,The US Constitution guarantees freedom of speech.,He has a strong constitution and rarely gets sick.,The constitution of the committee was announced yesterday.
22,rule,n/v,规则；统治；裁定；用尺画；极好,You must follow the rules of the game.,Queen Victoria ruled England for many years.,Use a ruler to rule a straight line on the paper.
23,antibiotics,n,抗生素,The doctor prescribed antibiotics for the infection.,Overuse of antibiotics can lead to resistance.,Penicillin was one of the first antibiotics discovered.
24,appointment,n,任命；约定；任命的职位,I have a doctor's appointment at 3 PM.,His appointment as the new CEO was announced yesterday.,She has secured a teaching appointment at the university.
25,trigger,n/v,扳机；起因；触发；引起,The loud noise triggered a headache.,Stress can trigger an asthma attack.,He pulled the trigger of the gun.
26,company,n,公司；陪伴；连队；宾客,She works for a software company.,He enjoys the company of his friends.,The dog is good company for the elderly man.
27,combustion,n,燃烧，氧化；骚动,The engine uses internal combustion to produce power.,Spontaneous combustion caused the fire in the haystack.,His sudden arrival caused a combustion of excitement.
28,layoff,n,临时解雇；活动停止期间；失业期,The company announced layoffs due to falling sales.,After the layoff, he struggled to find a new job.,Many workers faced a long layoff during the recession.
29,grant,v/n,授予；承认；拨款；补助金,The foundation granted him a scholarship for his studies.,I grant that you are right about that point.,The government provided a grant to support the arts.
30,astronomical,adj,天文的，天文学的；极大的,The cost of the new stadium is astronomical.,He studies astronomical phenomena like black holes.,The telescope allows for clear astronomical observation.
