id, english word, type, chinese meaning, sentence1, sentence2, sentence3
28, cosmos, n., 宇宙；和谐；秩序；大波斯菊, The cosmos contains billions of galaxies each with millions of stars., Ancient Greek philosophers contemplated the order and harmony of the cosmos., In the garden bright pink cosmos flowers swayed gently in the breeze.
32, ion, n., 离子, A sodium ion carries a positive charge while a chloride ion is negative., The ion concentration inside a cell is carefully regulated by membrane proteins., Lithium ions move from the anode to the cathode during battery discharge.
36, incidence, n., 发生率；影响； 入射；影响范围, The incidence of skin cancer increases with prolonged exposure to UV radiation., At a specific angle of incidence light striking water will be completely reflected., Public health campaigns aim to reduce the incidence of smoking-related diseases.
41, phosphorus, n., 磷, Phosphorus is a key component of ATP the energy currency of cells., Farmers add phosphorus to soil to promote healthy root development in crops., White phosphorus ignites spontaneously in air and burns with a bright flame.
46, celestial, adj./n., 天上的，天空的；神仙，天堂里的居民, Telescopes allow us to observe distant celestial bodies like nebulae and quasars., Ancient sailors used the positions of celestial objects to navigate the oceans., The moon is Earth's closest celestial neighbor.
47, geothermal, adj.,  地温的, Iceland uses geothermal energy to heat most of its homes and buildings., Hot springs are a surface manifestation of geothermal activity underground., Geothermal power plants tap into Earth's internal heat to generate electricity.
53, mitosis, n., 间接核分裂， 有丝分裂, During mitosis a single cell divides into two genetically identical daughter cells., Skin cells undergo mitosis constantly to replace dead or damaged tissue., Errors in mitosis can lead to cells with an abnormal number of chromosomes.
54, flourish, v./n., 繁荣，茂盛；茁壮成长；挥舞；炫耀；华丽辞藻；花彩字；花彩号声, With plenty of sunlight and water the tomato plants began to flourish., The orchestra played a final flourish as the conductor took a bow., Trade and commerce flourished under the long period of peace.
58, occur, vi., 发生；出现；存在, Solar eclipses occur when the moon passes directly between the Earth and the sun., A chemical reaction will occur only if the molecules collide with sufficient energy., It didn't occur to me that the fossils might be millions of years old.
63, plant, n./vt./vi., 工厂；植物；设备；种植；培养；安置, A plant converts carbon dioxide into oxygen through photosynthesis., The car manufacturer built a new assembly plant in Tennessee., We need to plant more trees to restore the deforested area.
65, liquid, adj./n., 液体的；清澈的；明亮的；液体；流体, Water is a liquid at room temperature but freezes into a solid at 0°C., The patient was placed on a liquid diet after the surgery., Mercury is the only metal that remains liquid at standard temperature.
66, meteor, n., 流星； 大气现象, A bright meteor streaked across the night sky burning up in the atmosphere., Most meteor showers occur when Earth passes through debris left by a comet., If a meteor is large enough to survive its fall and reach the ground it becomes a meteorite.
95, mutation, n., 突变；变化；元音变化, A single mutation in the hemoglobin gene can cause sickle cell anemia., Most mutations are harmless but some can lead to cancer or genetic disorders., The virus underwent a mutation that allowed it to infect human cells more easily.
98, congestion, n., 拥挤；拥塞；淤血, Nasal congestion often makes it difficult to breathe or sleep during a cold., Traffic congestion in the city center has worsened since the bridge closure., Lung congestion is a common symptom of heart failure.
