id, english word, type, chinese meaning, sentence1, sentence2, sentence3
"1", "accompany", "vt./vi.", "陪伴，伴随；伴奏vi. 伴奏，伴唱", "The musician will accompany the singer during the performance tonight.", "She decided to accompany her friend to the doctor appointment.", "Piano accompaniment is required for this vocal piece."
"2", "occupancy", "n.", "居住，占用；占用人数，容纳人数；（尤指酒店的）入住率，居住率", "The hotel achieved 90% occupancy during the holiday season.", "The occupancy rate of the apartment building has been steadily increasing.", "Fire safety regulations limit the maximum occupancy of this venue."
"3", "error", "n.", "误差；错误；过失", "The error in the calculation led to an incorrect final answer.", "Please report any errors you found in the document to the editor.", "Despite the small error, the experiment was still considered successful."
"4", "harmony", "n.", "协调；和睦；融洽；调和", "The team worked in harmony to complete the project ahead of schedule.", "The colors in the painting created a sense of harmony and balance.", "Living in harmony with nature is a core value of this community."
"5", "lab", "n.", "实验室，研究室", "The scientist conducted experiments in the chemistry lab.", "Students must wear safety goggles while in the computer lab.", "The research lab discovered a new method for water purification."
"6", "couple", "n./vi./vt.", "对；夫妇；数个vi. 结合；成婚vt. 结合；连接；连合", "The couple celebrated their anniversary at an expensive restaurant.", "A couple of days off would help me recover from the busy week.", "The experiment requires a couple of volunteers to participate."
"7", "antigen", "n.", "[免疫] 抗原", "The antigen triggers an immune response when it enters the body.", "Doctors can detect antigens in blood samples through laboratory tests.", "The vaccine works by introducing a weakened antigen to build immunity."
"8", "scientific", "adj.", "与科学有关的；系统的，谨慎的（方式）", "The research follows strict scientific methods to ensure accuracy.", "Scientific evidence supports the theory of evolution.", "She published her findings in a reputable scientific journal."
"9", "confine", "n./vt.", "（尤指某个地方限制行动自由的）边界；（尤指学科或活动领域的）范围；限制vt. 限制；禁闭；（因疾病、残疾）无法离开（床、家、轮椅）；将（自己或自己的活动）局限于；（妇女）卧床分娩", "Please confine your comments to the topic being discussed.", "The patient was confined to bed rest for several weeks.", "The research is confined to studying the effects of sleep deprivation."
"10", "value", "n./vt.", "值；价值；价格；重要性；确切涵义vt. 评价；重视；估价", "The antique has significant value due to its historical importance.", "She values honesty more than material possessions.", "The app helps users value their personal belongings for insurance purposes."
"11", "organize", "vt./vi.", "组织；使有系统化；给予生机；组织成立工会等vi. 组织起来；成立组织", "The conference was well organized with clear schedules for all attendees.", "Students need to organize their notes to study more effectively.", "The workers decided to organize and form a union."
"12", "prohibit", "vt.", "阻止，禁止", "The school prohibits students from using phones during class.", "Smoking is strictly prohibited in all indoor areas of the building.", "Traffic laws prohibit parking near fire hydrants."
"13", "require", "vt.", "需要；要求；命令", "The job requires a bachelor degree and three years of experience.", "All participants are required to sign a consent form before the study.", "This recipe requires ingredients that are easy to find at any grocery store."
"14", "accelerate", "vt./vi.", "使加快；使增速vi. 加速；促进；增加", "The car began to accelerate as it entered the highway.", "The treatment can accelerate the recovery process for patients.", "Economic growth has accelerated in the past quarter."
"15", "innovation", "n.", "创新，革新；新方法", "The company's success is driven by continuous innovation in technology.", "The innovation has transformed how people communicate globally.", "She received an award for her innovation in sustainable energy solutions."
"16", "protocol", "n./vt./vi.", "协议；草案；礼仪vt. 拟定vi. 拟定", "The two countries signed a diplomatic protocol to establish trade relations.", "Scientists must follow strict protocols when conducting experiments.", "The committee will protocol the new regulations for implementation."
"17", "axis", "n.", "轴；轴线；轴心国", "The Earth rotates on its axis once every 24 hours.", "The graph shows two variables plotted along the horizontal axis.", "The country joined the Axis powers during the Second World War."
"18", "withdraw", "vt./vi.", "撤退；收回；撤消；（从银行）取钱，提款；退股vi. 撤退；离开", "She decided to withdraw her application for the position.", "The army had to withdraw from the contested territory.", "Customers can withdraw money from any ATM using their debit card."
"19", "durable", "adj./n.", "耐用的，持久的n. 耐用品", "The durable backpack lasted for many years of heavy use.", "Manufacturers are developing more durable materials for construction.", "Investing in durable goods can save money in the long run."
"20", "humane", "adj.", "仁慈的，人道的；高尚的", "The shelter provides humane care for all animals in its charge.", "Humane treatment of prisoners is required under international law.", "The organization advocates for humane methods of pest control."
"21", "pantheon", "n.", "万神殿；名流群", "Ancient Greeks built a pantheon to honor their gods and goddesses.", "The literary pantheon includes authors like Shakespeare and Dickens.", "The sports pantheon welcomes athletes who achieve extraordinary records."
"22", "symbiosis", "n.", "[生态] 共生；合作关系；共栖", "The symbiosis between bees and flowers is essential for plant reproduction.", "The two companies developed a business symbiosis that benefited both parties.", "Coral reefs demonstrate remarkable symbiosis between different marine species."
"23", "enroll", "vt./vi.", "登记；使加入；把记入名册；使入伍vi. 参加；登记；注册；记入名册", "New students must enroll in courses before the start of the semester.", "The army will enroll additional soldiers for the upcoming mission.", "She decided to enroll in the online course to improve her skills."
"24", "predominant", "adj.", "主要的；卓越的；支配的；有力的；有影响的", "English is the predominant language used in international business.", "The predominant species in this forest is the oak tree.", "Sunny weather has been predominant throughout the entire summer."
