id, english word, type, chinese meaning, sentence1, sentence2, sentence3
26, function, n./vi., 功能；[数] 函数；职责；盛大的集会；运行；活动；行使职责, The primary function of a dishwasher is to clean dishes more efficiently than hand washing., "My old smartphone still functions well enough for calls and texts, even if the screen is cracked.", The community center will function as a shelter during the hurricane.
30, eligibility, n., 资格，合格, Your eligibility for the library card depends on whether you live within the city limits., He checked the contest rules to confirm his eligibility before submitting his photo., "The scholarship has strict eligibility criteria, including a minimum GPA."
38, cyber, adj., （与）网络（有关）的, Cyber Monday is now one of the biggest online shopping days of the year., The company hired a specialist to protect against cyber attacks and data breaches., "She spends most of her leisure time in cyber space, playing online games with friends."
39, incorporate, vt./vi./adj., 包含，吸收；体现；把……合并；合并；混合；组成公司；合并的；一体化的；组成公司的, "We decided to incorporate more vegetables into our daily diet for better health.", The architect managed to incorporate a traditional fireplace into the modern home design., "When you make the sauce, incorporate the butter slowly until it is fully melted."
42, drama, n., 戏剧，戏剧艺术；剧本；戏剧性事件, My daughter is rehearsing for a school drama that will be performed next month., "There was a lot of drama at the family dinner when the surprise guest arrived.", I prefer watching historical drama series on streaming services in my free time.
45, club, n./vt./vi./adj., 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花；用棍棒打；募集；集资；组成俱乐部；俱乐部的, "I joined a local book club to meet new people and discover new authors.", He pulled a golf club from his bag and prepared to take the first swing., "We decided to club together to buy a nice retirement gift for our neighbor."
44, sustainability, n., 持续性；永续性；能维持性, "The city is focusing on sustainability by installing more bike lanes and solar panels.", "When shopping, I look for products with a commitment to environmental sustainability.", "Her garden is a perfect example of sustainability—it uses rainwater and compost."
49, contribute, vt./vi., 贡献，出力；投稿；捐献；有助于，促成，是……的原因之一；发表意见，提议, "Everyone is asked to contribute a dish to the neighborhood potluck dinner.", "I try to contribute to a cleaner environment by using reusable shopping bags.", The heavy rain will contribute to the risk of flooding in low-lying areas.
56, commute, vi./vt./n., （搭乘车、船等）通勤；代偿；减刑；交换；用……交换；使……变成；通勤（口语）, "My daily commute to work takes about forty minutes by train.", "Since moving closer to the city, I now commute by bicycle instead of by car.", "She uses the time she spends on her commute to listen to audiobooks and podcasts."
57, medieval, adj., 中世纪的；原始的；仿中世纪的；老式的, The small town is famous for its well-preserved medieval castle., "His apartment has a medieval heating system that barely keeps the place warm.", "We attended a fair where people demonstrated medieval crafts like blacksmithing."
69, mode, n., 模式；方式；风格；时尚, "I switched my phone to airplane mode during the flight to save battery.", "The washing machine has a delicate mode specifically for wool and silk items.", "Bicycle commuting is my preferred mode of transportation when the weather is nice."
70, criteria, n., 标准，条件, "The main criteria for renting the apartment are a steady job and good references.", "We established clear criteria for choosing a new family car: safety, fuel efficiency, and space.", "Her artwork did not meet the criteria for the competition because it was too large."
71, Industrial Revolution, n., 工业革命，产业革命, "The Industrial Revolution transformed society by shifting work from homes to factories.", Many modern environmental problems began during the Industrial Revolution., The museum has an exhibit showing how life changed during the Industrial Revolution.
72, exhibition, n., 展览，显示；展览会；展览品, The art museum is hosting a new exhibition of modern photography., "Her prize-winning flower arrangements will be on exhibition at the county fair.", I spent the afternoon at the classic car exhibition downtown.
81, timetable, n., 时间表；时刻表；课程表, The train timetable changed this week, so we need to leave earlier., "I printed out my exam timetable and stuck it on the refrigerator.", According to the festival timetable, the main concert starts at 8 PM.
82, rescind, vt., 解除；废除；撤回, "The company decided to rescind the job offer after discovering false information on the resume.", The city council voted to rescind the unpopular parking ban., "He called to rescind his membership at the gym because he was moving away."
83, porcelain, n./adj., 瓷；瓷器；瓷制的；精美的, She inherited a beautiful set of hand-painted porcelain dishes from her grandmother., "Be careful when you wash that porcelain vase—it's very delicate.", The artist is known for creating modern sculptures using traditional porcelain techniques.
85, dynasty, n., 王朝，朝代, The dynasty ruled the region for over three hundred years., "The basketball team built a dynasty, winning five championships in a row.", She wrote a popular book about the rise and fall of a powerful Chinese dynasty.
86, finalist, n., 参加决赛的选手, She was thrilled to be selected as a finalist in the national baking competition., "The five finalists for the architecture prize will present their designs next week.", "As a finalist, he received a free trip to the awards ceremony in New York."
87, vernacular, adj./n., 本国的；地方的；用本地语写成的；本地话，方言；动植物的俗名, The architect specialized in vernacular design, using local materials and traditional styles., "The poem was written in the local vernacular, making it accessible to all villagers.", "In architectural terms, vernacular housing refers to buildings made without formal architects."
91, factor, n./vi./vt., 因素；要素；[物] 因数；代理人；做代理商；把…作为因素计入；代理经营；把…分解成, "The most important factor when choosing a neighborhood is the quality of the schools.", "We need to factor in the cost of parking before we decide on a venue for the party.", Weather is often a deciding factor in whether I ride my bike to work.
94, shampoo, n./vt., 洗发；洗发精；洗发, "I need to buy shampoo and conditioner at the store today.", "It's time to shampoo the carpets; they haven't been cleaned in over a year.", This new shampoo is supposed to be gentle on colored hair.
102, outreach, n./v./adj., 外展服务，扩大范围的服务；主动帮助；超出……的限度或范围；超过，胜出；伸出双臂；外展服务的，扩大服务范围的, "The library's outreach program delivers books to seniors who can't visit in person.", "The church organizes outreach efforts to help homeless families in the area.", "She works in community outreach, connecting residents with local health resources."
