id, english word, type, chinese meaning, sentence1, sentence2, sentence3
1, complement, n./vt., 补语；余角；补足物；补足，补助, This white wine will complement the seafood dish perfectly., "The two colleagues complement each other's skills—one is creative, the other is highly organized.", A full complement of medical staff was on hand for the emergency.
2, wellness, n., 健康, "The company's wellness program includes yoga classes and mental health days.", "She visits a holistic center that focuses on overall wellness rather than just treating symptoms.", Regular exercise and a balanced diet are cornerstones of physical wellness.
3, dentist, n., 牙科医生；牙医诊所, I need to schedule an appointment with my dentist for a routine cleaning., The dentist recommended flossing daily to prevent cavities., "She was nervous about visiting the dentist, but the procedure was painless."
4, light, n./adj./vi./vt./adv., 光；光线；灯；打火机；领悟；浅色；天窗；轻的；浅色的；明亮的；轻松的；容易的；清淡的；点着；变亮；着火；照亮；点燃；着火；轻地；清楚地；轻便地, "The morning light streaming through the window made the room feel warm and inviting.", She packed a light jacket in case the evening turned cool., The company introduced a light version of the software for casual users.
5, phenomenon, n., 现象；奇迹；杰出的人才, "The northern phenomenon known as the aurora borealis attracts tourists from around the world.", "Scientists are studying the unusual weather phenomenon that caused record rainfall.", The young musician is considered a phenomenon in the classical world.
6, satire, n., 讽刺；讽刺文学，讽刺作品, The novel is a brilliant satire of corporate culture and ambition., The show uses satire to expose the absurdities of modern politics., Many readers mistook his satire for genuine endorsement of the policies.
7, ocean floor, n., 洋底，大洋底；[海洋] 海底, "Scientists are mapping the ocean floor to better understand underwater ecosystems.", "Deep-sea explorers discovered a new species living near volcanic vents on the ocean floor.", "The ocean floor is covered with sediment that contains millions of years of geological history."
8, industrious, adj., 勤勉的, "The industrious student spent her weekends volunteering and studying for exams.", "Bees are among the most industrious creatures, working tirelessly to produce honey.", He was known as an industrious employee who never missed a deadline.
9, range, n./vi./vt., 范围；幅度；排；山脉；（在...内）变动；平行，列为一排；延伸；漫游；射程达到；漫游；放牧；使并列；归类于；来回走动, "The Rocky Mountains are a spectacular range that stretches across North America.", "The temperature in the region can range from freezing in winter to sweltering in summer.", "The store offers a wide range of organic products, from fresh produce to skincare."
10, offset, n./v./adj., 抵消，补偿；偏离量；（测绘）支距；（电子）偏离；侧枝；（山的）支脉；（建筑）壁阶；弯管，支管；平版印刷；抵消，弥补；衬托出；使偏离直线方向；用平版印刷术印刷，转印；装支管；胶印的, The company planted thousands of trees to offset its carbon emissions., She took on extra freelance work to offset the cost of her new car., The high salary offset the demanding nature of the job.
11, hemisphere, n., 半球, "The northern hemisphere experiences winter while the southern hemisphere enjoys summer.", "The brain's left hemisphere is often associated with logical reasoning.", Many bird species migrate from one hemisphere to another with the changing seasons.
12, option, n., [计] 选项；选择权；买卖的特权, "When booking the flight, I selected the option with flexible cancellation.", "After graduating, she had the option of continuing her studies or entering the workforce.", "The car comes with several luxury options, including heated seats and a sunroof."
13, embryo, n./adj., [胚] 胚胎；胚芽；初期；胚胎的；初期的, The embryo develops rapidly during the first few weeks of pregnancy., "The project was still in its embryo stage when funding was withdrawn.", Scientists are studying how environmental factors affect embryo development.
14, reaction, n., 反应，感应；反动，复古；反作用, Her initial reaction to the news was one of complete disbelief., The medication caused an allergic reaction in some patients., "The crowd's reaction to the performance was overwhelmingly positive."
15, replenish, vt., 补充，再装满；把…装满；给…添加燃料, "After the hike, we stopped to replenish our water bottles at the stream.", It is important to replenish essential nutrients after intense exercise., The store will replenish its inventory of winter coats by next week.
16, waitlist, n., 等候者名单, "The course was full, so I asked to be placed on the waitlist.", "She received an email saying she had been moved from the waitlist to the confirmed attendee list.", "The restaurant does not take reservations, but we can put your name on the waitlist."
17, landform, n., [地理] 地形, "The Grand Canyon is one of the most dramatic landforms in the world.", Glaciers carved the distinctive landforms visible throughout the valley., "Students in geography class created models of various landforms, including mountains and deltas."
18, merger, n., （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）, "The merger between the two airlines created the largest carrier in the region.", Employees were anxious about how the merger would affect their jobs., "The merger of the two companies was approved by regulators after months of review."
19, sketch, n./vt./vi., 素描；略图；梗概；画素描或速写；画素描或速写, "The artist drew a quick sketch of the café scene in her notebook.", "Before starting the painting, he made several preliminary sketches to test compositions.", "The detective provided a rough sketch of the suspect for the witness to identify."
20, stable, adj./n./v., 稳定的，牢固的；稳重的，沉稳的；持久的；（化学术语）稳定的；马厩；养马场；（属同一马主或驯马师的）一群赛马；（同一地方工作的）一批人，（同一公司生产的）系列产品；（提供相同训练的）组织，机构；赶入马房，把（马）拴在马厩；（被）关在马厩, "After months of volatility, the currency finally became stable.", "The patient's condition is now stable, and she is expected to recover.", "He found a stable job with good benefits after years of freelance work."
21, sovereignty, n., 主权；主权国家；君主；独立国, The country fought for decades to gain its sovereignty from colonial rule., International law recognizes the sovereignty of independent nations., The dispute centered on issues of territorial sovereignty and natural resources.
