id, english word, type, chinese meaning, sentence1, sentence2, sentence3
29, sophisticated, adj./v., 复杂的；精致的；久经世故的；富有经验的；使变得世故；使迷惑；篡改（sophisticate的过去分词形式）, "The restaurant's sophisticated ambiance, with its dim lighting and white tablecloths, made it a popular spot for anniversary dinners.", As a journalist, she developed a sophisticated understanding of international trade negotiations., "His years in diplomacy had sophisticated him to the point where he could navigate any social situation with ease."
40, sophistication, n., 复杂；诡辩；老于世故；有教养, "The sophistication of the security system gave residents peace of mind.", He wore his new suit with an air of casual sophistication that impressed his colleagues., Critics praised the film for its emotional depth and intellectual sophistication.
51, dependable, adj., 可靠的，可信赖的；可信赖的, "For the role of treasurer, we need someone honest and dependable.", "The old tractor may be slow, but it's utterly dependable even after decades of use.", "Her dependable nature meant she was always the one friends called in an emergency."
55, aspire, vi., 渴望；立志；追求, He aspires to a position where his opinion is valued and respected., Many young writers aspire to see their work published in that prestigious magazine., "She aspires to greatness, though she remains humble about her talents."
61, attitude, n., 态度；看法；意见；姿势, His casual attitude toward deadlines often frustrated his manager., The dancer maintained a graceful attitude throughout the difficult routine., A positive attitude can sometimes make the difference between success and failure.
64, benevolence, n., 仁慈；善行, The scholarship was established through the benevolence of a former student., He treated his employees with genuine benevolence, always concerned for their well-being., Her acts of benevolence were never performed for recognition or praise.
74, complaint, n., 抱怨；诉苦；疾病；委屈, "If you have a complaint about the service, please speak to the manager directly.", Her only complaint about the apartment was the lack of natural light., The doctor asked about any physical complaints or unusual symptoms.
75, realism, n., 现实主义；实在论；现实主义的态度和行为, The novel stands out for its unflinching realism about family struggles., "While dreaming big is important, a dose of realism helps when planning a budget.", His realism about the project's timeline saved the team from overcommitting.
77, plus, prep./adj./n./conj., 加；和；（温度）零上；（用于数字后表数量大）余；零上；好的；略高于（A、B 等分数）；正电的；优势；加号；加法；附加额；（非正式）而且，另外；加, "The hotel offers a complimentary breakfast, plus free Wi-Fi throughout the building.", Being fluent in Spanish is a definite plus for this customer service position., The temperature dropped to plus two degrees Celsius overnight.
84, fine, adj./n./vt./adv., 好的；优良的；细小的，精美的；健康的；晴朗的；罚款；罚款；澄清；很好地；精巧地, "The agreement seemed fine to everyone except the legal team.", She drew a fine line between confidence and arrogance., "If you return the book late, the library will charge a fine of twenty cents per day."
88, distraction, n., 注意力分散；消遣；心烦意乱, I find it difficult to read with the television on; it's too much of a distraction., "After the argument, she needed a distraction to stop dwelling on her worries.", The constant notifications on his phone were a major distraction during work hours.
92, apparent, adj., 显然的；表面上的, His disappointment was immediately apparent when he didn't get the promotion., "For no apparent reason, the computer suddenly shut down.", Beneath her apparent confidence, she harbored many doubts.
97, manifest, v./adj./n./adv., 表明，清楚显示（尤指情感、态度或品质）；证明；（病症）显现；（鬼魂或神灵）出现；在清单上记录；显然的，明显的；显现出的；载货单，货单；旅客名单；货运列车编组清单；明显地, The symptoms of the illness usually manifest within a few days of infection., His frustration manifested itself in sudden outbursts of anger., "The pilot checked the manifest to ensure all passengers were on board before departure."
99, challenge, n./vt., 挑战；考验；怀疑；（警卫）叫停盘问；（陪审员对某人出庭表示的）反对；向……挑战；考验……能力；对……质疑；盘问；（陪审员对某人出庭表示）反对, Learning to play the piano later in life was a rewarding challenge for him., The data challenges the widely held belief that economic growth requires environmental harm., She decided to challenge herself by running a marathon.
100, integral, adj./n., 积分的；完整的，整体的；构成整体所必须的；积分；部分；完整, "The local library plays an integral role in the community by offering free programs for all ages.", Trust is integral to any successful partnership., These exercises are an integral part of the physical therapy regimen.
101, vibrant, adj., 充满生机的，生气勃勃的；鲜艳的；醒目的；洪亮的；强劲的；颤抖的，震动的, "The artist used vibrant reds and yellows to capture the energy of the city street.", "Even in her eighties, my grandmother has a vibrant curiosity about new technology.", "The neighborhood has become a vibrant cultural hub with galleries, cafes, and music venues."
