id,english word,type,chinese meaning,sentence1,sentence2,sentence3
29,flu,n.,流感,I caught the flu and had to stay home for a week.,The flu season typically peaks during the winter months.,Doctors recommend getting a flu shot every year for protection.
30,recyclable,adj.,可回收利用的；可再循环的,The packaging is made from recyclable materials.,Is this plastic bottle recyclable in our area?,They only use recyclable paper in their office.
31,supernova,n.,[天] 超新星,A supernova occurs when a massive star explodes at the end of its life.,The supernova was so bright it could be seen during the day.,Scientists study supernova remnants to understand the universe's expansion.
32,skilled,adj.,熟练的；有技能的；需要技能的,She is a skilled carpenter with twenty years of experience.,The job requires a skilled programmer who knows multiple languages.,We need skilled negotiators to handle this delicate situation.
33,equivalent,adj.,相等的；等价的,A mile is roughly equivalent to 1.6 kilometers.,His silence was equivalent to an admission of guilt.,The two courses are considered equivalent for transfer credit.
34,artificial intelligence,n.,人工智能,Artificial intelligence is transforming the healthcare industry.,Many companies use artificial intelligence to improve customer service.,The ethics of artificial intelligence is a growing field of study.
35,import,n.,进口；输入；含义,The country relies heavily on the import of oil.,I didn't grasp the full import of his words until later.,They discussed the import of foreign luxury goods.
36,niche,n.,壁龛；合适的职业；有利可图的市场,She found her niche in wildlife photography.,The company carved out a profitable niche in organic snacks.,A small statue stood in the niche carved into the wall.
37,evaluate,vt.,评价；估价；求…的值,We need time to evaluate the proposal before making a decision.,The teacher will evaluate the students on their final projects.,They hired an expert to evaluate the antique furniture.
38,nutrient,n.,营养物；滋养物,Spinach is rich in the nutrient iron.,Plants absorb nutrients from the soil through their roots.,The body needs a variety of nutrients to function properly.
39,pollination,n.,[农学] 授粉（作用）,Bees play a crucial role in the pollination of crops.,Without pollination, many plants cannot produce fruit.,Wind pollination is common among grasses and certain trees.
40,heat,n.,高温；压力；热度,The heat of the summer sun made it impossible to work outside.,She turned down the heat on the stove to let the soup simmer.,The athlete struggled to perform under the heat of the competition.
41,vegetation,n.,植被；植物,Mountain goats feed on the sparse vegetation found at high altitudes.,The dense jungle vegetation concealed the ancient temple.,Satellite images show a decline in vegetation cover over the region.
42,distinctive,adj.,独特的；有特色的,The singer has a very distinctive voice that is easy to recognize.,The building's distinctive blue dome is a city landmark.,Each zebra has a distinctive pattern of stripes.
43,gravity,n.,重力；严重性；庄严,The gravity on the moon is about one-sixth of that on Earth.,He spoke with such gravity that everyone listened attentively.,The doctor explained the gravity of the patient's condition to the family.
44,sublimation,n.,升华；升华作用,Sublimation is the process by which dry ice turns directly into carbon dioxide gas.,He believes intense exercise is a healthy form of sublimation for anger.,The artist's work represents a sublimation of raw emotion into visual form.
45,acclimatization,n.,适应环境；驯化；服水土,Acclimatization to high altitudes takes several days.,The acclimatization of the imported plants to the new climate failed.,Proper acclimatization is essential before climbing Mount Everest.
46,raise,vt.,养育；筹集；升起,They are trying to raise money for the new children's hospital.,The farmer raises chickens and sells the eggs.,He gave a speech to raise awareness about mental health.
47,quotation,n.,报价单；引用语,The contractor sent us a quotation for the repair work.,She began her essay with a quotation from Shakespeare.,Please get a quotation from three different vendors before purchasing.
48,protein,n.,蛋白质,Chicken breast is an excellent source of lean protein.,Protein is essential for building and repairing muscle tissue.,She adds a scoop of protein powder to her morning smoothie.
49,dynamic,adj.,动态的；有活力的,She is a dynamic leader who inspires her colleagues.,The market is extremely dynamic and changes every day.,They have a dynamic relationship that is always evolving.
50,conversely,adv.,相反地,You can add a little sugar for flavor; conversely, you can add a pinch of salt.,He is quiet and thoughtful; conversely, his sister is loud and impulsive.,Physical activity boosts your mood; conversely, a sedentary lifestyle can lead to depression.
51,credentials,n.,证书；文凭；资格,She presented her academic credentials during the job interview.,His credentials as an economist are widely respected.,The guard checked our credentials before allowing us to enter the building.
52,inherit,vt.,继承；遗传而得,She will inherit her grandmother's estate.,He inherited his mother's passion for music.,The new CEO inherits a company facing serious financial problems.
53,overseas,adv.,在海外，向国外,She plans to study overseas next semester.,They moved overseas for a better quality of life.,The product is manufactured overseas and shipped here.
54,autonomy,n.,自治，自治权,The region is fighting for greater political autonomy.,Managers should give their teams enough autonomy to make decisions.,Teenagers often crave more autonomy from their parents.
55,diversity,n.,多样性；差异,The university prides itself on the cultural diversity of its student body.,The diversity of wildlife in the rainforest is astonishing.,We need to embrace diversity of thought in the workplace.
56,composer,n.,作曲家,Mozart was a prolific composer of classical music.,She works as a film composer, writing scores for movies.,The composer drew inspiration from folk melodies for her symphony.
57,supply,vt.,供给，提供,The local farm supplies most of the vegetables to the restaurant.,The Red Cross supplied blankets and food to the flood victims.,These batteries supply power to the emergency lighting system.
58,intrinsic,adj.,本质的，固有的,Curiosity is an intrinsic part of human nature.,The painting has no intrinsic value, just sentimental worth.,An intrinsic property of gold is its resistance to corrosion.
59,excel,vi.,（在某方面）胜过别人,She excels at solving complex math problems.,He excels in team sports, especially basketball.,To excel in this career, you need both talent and determination.
60,mitigate,vt.,使缓和，使减轻,We planted trees to mitigate the effects of soil erosion.,The company took steps to mitigate the risk of a data breach.,Drinking plenty of water helps mitigate the symptoms of a cold.
61,assistance,n.,援助，帮助,Can you provide any assistance moving this heavy furniture?,The country requested financial assistance from the United Nations.,She offered me her assistance with the tedious paperwork.
62,appraise,vt.,评价，鉴定；估价,A jeweler can appraise the value of your diamond ring.,Managers should regularly appraise their employees' performance.,It is difficult to appraise a house without seeing the interior.
63,export,vt.,传播，输出；出口,The country plans to export more electronics in the coming years.,American movies export a certain image of freedom globally.,That file format allows you to easily export your document to a PDF.
64,constant,adj.,不变的；恒定的；经常的,The baby requires almost constant attention.,The temperature inside the lab must stay at a constant level.,He was a constant source of encouragement for the whole team.
65,concurrent,adj.,并发的；一致的；同时发生的,The two meetings are scheduled concurrently, so I can only attend one.,Her appointment ends concurrent with the CEO's retirement.,The judge sentenced him to two concurrent prison terms of ten years.
66,prey,n.,猎物；受害者,The lion stalked its prey silently through the tall grass.,The scam targeted the elderly as easy prey.,She fell prey to a phishing email and compromised her account.
67,stock,n.,库存；股票；树干,The shop carries an extensive stock of hiking gear.,He invested heavily in the tech company's stock.,The old rifle had a polished walnut stock.
