id,english word,type,chinese meaning,sentence1,sentence2,sentence3
28,infection,n.,"感染；传染；影响；传染病","The doctor prescribed antibiotics to clear up the bacterial infection.","Proper handwashing is crucial to prevent the spread of infection.","He developed a serious ear infection after swimming in the lake."
30,annual,"adj., n.","年度的；每年的, 年刊，年鉴；一年生植物","The company holds an annual conference for all its employees.","We look forward to our annual family vacation to the beach.","The report provides an annual summary of the organization's financial performance."
32,particle,n.,"颗粒；[物] 质点；极小量；小品词","Scientists are studying the behavior of a newly discovered subatomic particle.","A single particle of dust floated in the sunbeam.","The air filter is designed to remove even the smallest particles from the air."
33,constellation,n.,"[天] 星座；星群；荟萃；兴奋丛","Orion is a prominent constellation that is visible in the winter sky.","On a clear night, you can see the constellation known as the Big Dipper.","She has a small tattoo of her favorite constellation on her wrist."
35,student,n.,"学生；学者","The student diligently took notes during the professor's lecture.","Every student is required to complete the assigned reading before class.","He is a top student who consistently earns high grades."
36,parameter,n.,"参数；系数；参量","The engineers must work within the specific parameters of the project's design.","One key parameter of the experiment is the temperature of the solution.","We need to define the parameters of the study before we begin collecting data."
38,telescope,"n., v.","望远镜, 使……叠套缩短；精简，压缩；使（车）相撞而嵌进, 叠套缩短；压缩","From the observatory, we used a powerful telescope to view the rings of Saturn.","Galileo was one of the first astronomers to use a telescope to study the heavens.","My grandfather bought me a small telescope so I could look at the moon."
43,light-year,n.,"<天>光年；","The Andromeda Galaxy is approximately 2.5 million light-years away from Earth.","A light-year is a measure of distance, not time, representing how far light travels in one year.","It's difficult to comprehend the vast distances between stars, which are measured in light-years."
44,nature,n.,"自然；性质；本性；种类","We went for a long hike to enjoy the peace and beauty of nature.","It is in a cat's nature to be curious and independent.","The destructive power of nature was evident after the hurricane."
45,equation,n.,"方程式，等式；相等；[化学] 反应式","The student struggled to solve the complex algebraic equation.","Einstein's famous equation, E=mc², demonstrates the relationship between mass and energy.","To solve for the variable, you must first balance the equation."
51,ozone layer,n.,"[地物] 臭氧层","The ozone layer protects life on Earth by absorbing most of the sun's harmful ultraviolet radiation.","Scientists discovered a hole in the ozone layer over Antarctica in the 1980s.","International treaties have helped reduce chemicals that deplete the ozone layer."
53,dictionary,n.,"字典；词典","If you don't know the meaning of a word, you should look it up in a dictionary.","The dictionary provides definitions, pronunciations, and origins of words.","I prefer using an online dictionary because it is updated more frequently."
56,reproductive,adj.,"生殖的；再生的；复制的","The biology class studied the reproductive system of frogs.","Understanding the reproductive cycle of endangered species is vital for conservation.","A flower's reproductive organs include the stamen and pistil."
58,sore throat,n.,咽喉痛,"I woke up with a sore throat and a stuffy nose.","Gargling with salt water can help to soothe a sore throat.","A sore throat is a common symptom of a cold or the flu."
59,transcript,n.,"成绩单；抄本，副本；文字记录","Colleges require you to submit an official high school transcript with your application.","The court reporter provided a complete transcript of the witness's testimony.","My academic transcript shows all the courses I've taken and the grades I received."
76,pollen,"n., v.","花粉, 传授花粉给……","His seasonal allergies are triggered by high levels of pollen in the air.","Bees play a crucial role in transferring pollen from one flower to another.","The car was covered in a fine yellow dust of pollen after being parked under the tree."
77,melt,"v., n.","熔化，溶解；渐混, 使融化；使熔化；使软化；使感动, 熔化；熔化物","The ice cream will melt quickly if you leave it in the sun.","We watched the snowman slowly melt as the temperature rose.","The spring melt caused the river to swell and flood its banks."
81,fossil,"n., adj.","化石；僵化的事物；顽固不化的人, 化石的；陈腐的，守旧的","The paleontologist carefully excavated the dinosaur fossil from the rock.","Fossil fuels like coal and oil were formed from the remains of ancient organisms.","We found a small fossil of a seashell embedded in the cliffside."
82,presentation,n.,"展示；描述，陈述；介绍；赠送","She delivered a confident and informative presentation to the board of directors.","The sales team prepared a multimedia presentation to showcase the new product.","Using clear visuals can greatly enhance the effectiveness of a presentation."
83,cell membrane,n.,"[细胞] 细胞膜","The cell membrane acts as a barrier, controlling what enters and leaves the cell.","In biology, we learned that the cell membrane is composed of a lipid bilayer.","Damage to the cell membrane can be fatal to the cell."
86,interaction,n.,"相互作用，相互影响；交流；[数] 交互作用；互动","The study focuses on the interaction between genetics and environment.","Positive social interaction is important for mental well-being.","The drug's effectiveness can be reduced due to its interaction with certain foods."
91,igneous,adj.,"火的；[岩] 火成的；似火的","Granite and basalt are common types of igneous rock.","Igneous rock is formed through the cooling and solidification of magma or lava.","The geologist identified the rock as igneous because of its crystalline structure."
95,biodiversity,n.,生物多样性,"The Amazon rainforest is famous for its incredible biodiversity.","Protecting biodiversity is essential for maintaining healthy and resilient ecosystems.","Habitat destruction is a major threat to global biodiversity."
97,nuclear,adj.,"原子能的；[细胞] 细胞核的；中心的；原子核的","The power plant generates electricity using nuclear energy.","A treaty was signed to limit the proliferation of nuclear weapons.","A cell's genetic material is contained within its nuclear membrane."
99,graduation,n.,"毕业；毕业典礼；刻度，分度；分等级","Her entire family attended her college graduation ceremony.","After graduation, he plans to travel for a year before starting his career.","The speaker at the graduation offered words of encouragement to the new alumni."
102,visibility,n.,"能见度，可见性；能见距离；明显性","The heavy fog severely reduced visibility, making driving dangerous.","Pilots require a minimum level of visibility to land an aircraft safely.","Wearing bright clothing improves a cyclist's visibility to drivers at night."
2,acceleration,n.,"加速，促进；[物] 加速度；跳级","The sports car boasts impressive acceleration, going from 0 to 60 in under four seconds.","In physics, acceleration is defined as the rate of change of velocity.","There has been a rapid acceleration in the development of artificial intelligence."
4,force,"n., v.","力量；武力；军队；魄力, 促使，推动；强迫；强加","Gravity is the force that keeps the planets in orbit around the sun.","The police had to use force to open the locked door.","You should not force a child to eat if they are not hungry."
5,review,"n., v.","回顾；复习；评论；检讨；检阅, 回顾；检查；复审, 回顾；复习功课；写评论","The movie received a glowing review from the film critic.","It's important to review your notes thoroughly before the final exam.","The manager will review your performance at the end of the year."
11,pH,abbr.,"病历（Patient History）；公共卫生（Public Health）；性能档案（Performance History）；紫心勋章（Purple Heart）","The pH of a solution indicates its acidity or alkalinity.","Pure water has a neutral pH of 7.","Gardeners often test the soil's pH to determine which plants will grow best."
12,grade,"n., v.","年级；等级；成绩；级别；阶段, 评分；把…分等级, 分等级；逐渐变化","He was proud to receive a good grade on his challenging math test.","My youngest daughter will be starting the first grade in the fall.","The teacher needs the weekend to grade all of the student essays."
16,sediment,n.,"沉积；沉淀物","Over millions of years, layers of sediment hardened to form sedimentary rock.","The river deposited a thick layer of sediment along its banks during the flood.","There was a fine sediment at the bottom of the old bottle of wine."
