id,english word,type,chinese meaning,sentence1,sentence2,sentence3
1,transport,"n.,vt.","n. 运输；运输机；狂喜；流放犯; vt. 运输；流放；使狂喜","The city is improving public transport to reduce traffic.","The ship will transport the goods across the ocean.","The music was so beautiful it seemed to transport the audience to another world."
2,faculty,"n.","n. 科，系；能力，官能；全体教员","She joined the faculty of engineering at the university.","He has a remarkable faculty for learning languages quickly.","The entire faculty gathered for the annual meeting."
3,revision,"n.","n. [印刷] 修正；复习；修订本","The textbook is currently under revision for the next edition.","I need to do some revision before the history exam tomorrow.","The author published a revised revision of her first novel."
4,notwithstanding,"prep.,adv.,conj.","prep. 尽管，虽然; adv. 尽管，仍然; conj. 虽然，尽管","Notwithstanding the bad weather, the event was a great success.","He went ahead with the plan, my objections notwithstanding.","Notwithstanding that she was tired, she finished the report on time."
5,virtual,"adj.","adj. [计] 虚拟的；实质上的，事实上的（但未在名义上或正式获承认）","The company set up a virtual office with remote employees.","He is the virtual leader of the team, though his title is only advisor.","Virtual reality technology is changing the gaming industry."
6,socioeconomic,"adj.","adj. 社会经济学的","The study examined the socioeconomic factors affecting education.","People from different socioeconomic backgrounds participated in the survey.","The government launched a new socioeconomic reform plan."
7,discover,"vt.,vi.","vt. 发现；发觉; vi. 发现","Scientists hope to discover new species in the deep ocean.","You will discover that it's much easier than it seems.","We went to explore the forest to discover hidden trails."
8,penalty,"n.","n. 罚款，罚金；处罚","There is a heavy penalty for late payment of taxes.","The team scored a goal from a penalty kick.","Breaking the rules will result in a penalty."
9,environment,"n.","n. 环境，外界","We must protect the environment for future generations.","She works best in a quiet environment free from distractions.","The company fosters a supportive work environment."
10,fraternity,"n.","n. 友爱；兄弟会；互助会；大学生联谊会","He joined a fraternity during his first year at college.","The spirit of fraternity brought the firefighters together.","The fraternity organized a charity event for the local community."
11,philosopher,"n.","n. 哲学家；哲人","Plato is one of the most famous philosophers of ancient Greece.","She read the works of existentialist philosophers.","He takes the attitude of a philosopher towards life's challenges."
12,desertification,"n.","n. （土壤）荒漠化；沙漠化","Overgrazing is a major cause of desertification.","Many African countries are fighting against desertification.","The UN launched a campaign to combat desertification worldwide."
13,ahead of,"prep.","prep. 在……之前；早于；领先","We need to finish this project ahead of the deadline.","She was running ahead of the other competitors.","Thanks to hard work, the company is now ahead of its rivals."
14,innovative,"adj.","adj. 革新的，创新的；新颖的；有创新精神的","The startup has an innovative approach to solving old problems.","She won an award for her innovative design.","The new product features innovative technology."
15,animation,"n.","n. 活泼，生气；激励；卡通片绘制","The animation in that movie was stunningly realistic.","He spoke with such animation that the whole room listened.","She is studying 3D animation at art school."
16,restore,"vt.,vi.","vt. 恢复；修复；归还; vi. 恢复；还原","The team worked hard to restore the historic building.","A good night's sleep will help restore your energy.","After the data loss, we managed to restore all files from a backup."
17,market share,"n.","n. [贸易] 市场占有率","The company is trying to increase its market share in Asia.","Their market share dropped after the new competitor entered.","A clever marketing strategy helped them gain significant market share."
18,degradation,"n.","n. 退化；降格，降级；堕落","Environmental degradation is a serious global concern.","The scandal led to the degradation of his reputation.","Soil degradation reduces the land's agricultural productivity."
19,evolution,"n.","n. 演变；进化论；进展","Charles Darwin is known for his theory of evolution.","The evolution of smartphones has been remarkably fast.","We are witnessing the evolution of a new political movement."
20,sound,"n.,v.,adj.,adv.","n. 声音；噪音；音响；海峡；听力范围；医用探子；无线电广播；音响效果; v. （使）发声；听起来；鸣警报；听（诊）；回响；探测；试探；宣告；（医）用探子检查；（尤指鲸鱼）潜入深海; adj. 合理的；无损的；有能力的；充足的；彻底的；熟睡的；资金充实的；（非正式）非常棒的；严厉的；健全的; adv. 彻底地，酣畅地","I could hear the sound of waves crashing on the shore.","Her explanation sounds logical to me.","The foundation of the house is structurally sound."
21,draft,"n.,vt.,vi.,adj.","n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流; vt. 起草；制定；征募; vi. 拟稿；绘样；作草图; adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的","I wrote a rough draft of the essay last night.","A cold draft came through the window.","The government may draft new legislation next month."
22,queen,"n.,vt.,vi.","n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王; vt. 使…成为女王或王后; vi. 做女王","The queen greeted the crowd from the balcony.","She played the queen of hearts and won the card game.","In a beehive, the queen is the only female that lays eggs."
23,temperature,"n.","n. 温度；体温；气温；发烧","The temperature today is expected to reach 35 degrees.","The nurse checked the patient's temperature.","Global temperature rise is a key indicator of climate change."
24,subsidy,"n.","n. 补贴；津贴；补助金","The government provides a subsidy for renewable energy projects.","Farmers receive an annual subsidy to support food production.","Without the subsidy, the bus service would have to close."
25,igneous rock,"n.","[岩] 火成岩","Granite is a common type of igneous rock.","The landscape was formed by ancient igneous rock formations.","Igneous rock is created when magma cools and solidifies."
26,diffuse,"adj.,vt.,vi.","adj. 弥漫的；散开的; vt. 扩散；传播；漫射; vi. 传播；四散","The scent of flowers diffused through the garden.","Soft lighting helped diffuse a warm atmosphere in the room.","The speaker tried to diffuse the tension with a joke."
27,disaster,"n.","n. 灾难，灾祸；不幸","The earthquake was one of the worst natural disasters of the century.","The outdoor wedding was a total disaster because of the rain.","Emergency teams were sent to the disaster zone immediately."
28,noise,"n.,vt.,vi.","n. [环境] 噪音；响声；杂音; vt. 谣传; vi. 发出声音；大声议论","The noise from the construction site was unbearable.","It was being noised about that the mayor planned to resign.","Please don't noise around while the baby is sleeping."
