id,english word,type,chinese meaning,sentence1,sentence2,sentence3
1,invoke,vt.,"调用；祈求；引起；恳求","The program will invoke a system function to complete the task.","She invoked the goddess for protection during the ceremony.","His speech invoked a strong reaction from the audience."
2,sink,v. / n. / adj.,"（在水或泥里）下沉；使（船只）沉没；倒下；渗透；完全被理解；使锋利物穿透表面；（物体）沉降；消失；降低；（声音）变小；挖掘；埋入；使消沉，压抑；接近死亡；隐藏；击球入洞；（非正式）猛喝 / 洗涤槽，水槽；洼地；污水坑；（技）汇，壑；贫困地区学校（或房产）；巢，藏垢的场所 / 位于社会条件差的贫穷地区的，贫民窟的","The heavy stone began to sink slowly in the murky water.","It took a few seconds for the shocking news to sink in.","She washed the dishes in the kitchen sink."
3,timeless,adj.,"永恒的；不受时间影响的；不合时宜的","The beauty of the Mona Lisa is truly timeless.","His novels possess a timeless quality that appeals to every generation.","She wore a timeless black dress that never goes out of style."
4,response,n.,"响应；反应；回答","The company made an official response to the allegations.","His body's immune response fought off the infection effectively.","She waited eagerly for his response to the invitation."
5,monarch,n.,"君主，帝王；最高统治者","The monarch ruled the kingdom with wisdom and justice.","Queen Elizabeth II was the longest-reigning British monarch.","The butterfly is often called the monarch of the insect world."
6,preserve,vt. / n.,"保存；保护；维持；腌；禁猎 / 保护区；禁猎地；（某人或群体的）专门活动；果酱；蜜饯；腌菜","We must preserve our natural resources for future generations.","She used salt to preserve the meat during the long winter.","The national park is a protected wildlife preserve."
7,homeostasis,n.,"[生理] 体内平衡；[自] 内稳态","The human body maintains homeostasis by regulating its temperature.","Sweating is a crucial mechanism for achieving thermal homeostasis.","Disruption of homeostasis can lead to serious health problems."
8,fertilize,vt.,"使受精；使肥沃","Farmers often use compost to fertilize their fields.","The sperm cell must travel a long distance to fertilize the egg.","Bees help to fertilize flowers as they collect nectar."
9,automatic,adj. / n.,"自动的；无意识的；必然的 / 自动机械；自动手枪","Breathing is an automatic function of the human body.","The car has an automatic transmission that shifts gears smoothly.","He carried a concealed automatic for self-defense."
10,taxonomy,n.,"分类学；分类法","The taxonomy of plants helps botanists organize species systematically.","Modern taxonomy relies heavily on genetic analysis.","Bloom's taxonomy is widely used in education to classify learning objectives."
11,important,adj.,"重要的，重大的；有地位的；有权力的","Education plays an important role in shaping a person's future.","It is important to drink enough water every day.","He holds an important position within the government."
