22,predictable,adjective,可预言的,"The plot of the movie was so predictable that I knew the ending within the first ten minutes.","His reaction was entirely predictable, as he always gets upset about that topic.","The weather in this region is not predictable; it can change in an instant."
24,cordial,"adjective, noun","热情友好的；由衷的；兴奋的, 甜果汁饮料；镇定药；兴奋剂；甜香酒","Despite their professional rivalry, the two scientists maintained a cordial relationship.","We received a cordial welcome from the hosts of the party.","The meeting concluded on a cordial note, with plans for future collaboration."
26,copyright,"noun, adjective, transitive verb","版权，著作权, 版权的；受版权保护的, 保护版权；为…取得版权","The author holds the copyright for her novel, so no one can reproduce it without permission.","It is illegal to distribute copyrighted material without authorization.","This photograph is protected by copyright law and cannot be used commercially."
27,encompass,transitive verb,"包含；包围，环绕；完成","The final exam will encompass all the topics covered this semester.","The national park is vast and will encompass diverse landscapes, from mountains to forests.","Her responsibilities encompass managing the team and overseeing the budget."
29,ambiguous,adjective,"模糊不清的，模棱两可的；不明确的，不明朗的；引起歧义的","The politician gave an ambiguous answer to the reporter's direct question.","The instructions for the assignment were ambiguous, which confused many students.","The ending of the film was deliberately ambiguous, leaving the audience to debate its meaning."
31,pose,"transitive verb, intransitive verb, noun","造成，形成；摆姿势；装模作样；提出…讨论, 摆姿势；佯装；矫揉造作, 姿势，姿态；装模作样","Climate change continues to pose a significant threat to the entire planet.","The family had to pose for a photograph in front of the landmark.","The difficult question will pose a challenge for even the most experienced experts."
37,ancient,"adjective, noun","古代的；古老的，过时的；年老的, 古代人；老人","The archaeologists discovered an ancient city buried beneath the sand.","The museum's collection includes pottery and tools from ancient civilizations.","This is an ancient tradition that has been passed down for many generations."
39,awareness,noun,"意识，认识；明白，知道, 人群对品牌或产品的认知","The campaign aims to raise public awareness about the dangers of smoking.","There is a growing awareness of the importance of mental health.","He had no awareness that he was being followed."
40,protective,adjective,"防护的；关切保护的；保护贸易的","A mother bear is extremely protective of her cubs.","It is important to wear protective eyewear when working with power tools.","He put a protective case on his new phone to prevent it from getting scratched."
41,mandatory,"adjective, noun","强制的；托管的；命令的, 受托者","Wearing a seatbelt is mandatory for all drivers and passengers.","Attendance at the weekly team meeting is mandatory for all employees.","The school has a mandatory uniform policy that all students must follow."
42,corresponding,"adjective, verb","相当的，相应的；一致的；通信的, 类似；相配","The company saw a significant increase in sales and a corresponding increase in profits.","For every action, there is a corresponding and opposite reaction.","Please match the vocabulary words with their corresponding definitions."
47,scope,"noun, transitive verb","范围；余地；视野；眼界；导弹射程, 审视","The scope of the project was much larger than we initially anticipated.","Fixing the engine is outside the scope of my mechanical knowledge.","We need to clearly define the scope of the investigation before we proceed."
48,directors,noun,"[经管]董事（director 的复数形式）；[电影]导演；理事；[管理]主管","The board of directors is responsible for making major decisions for the company.","Several famous film directors attended the movie premiere.","The new policy was approved by the company's directors."
49,middle ages,phrase,"中世纪；中古时期","Many castles and cathedrals in Europe were built during the Middle Ages.","Life was often difficult and short for the common person in the Middle Ages.","He is a historian who specializes in the art and literature of the Middle Ages."
57,altruism,noun,"利他；利他主义","The firefighter's heroic rescue was an act of pure altruism.","Donating to charity without seeking recognition is a form of altruism.","Some philosophers debate whether true altruism, completely selfless acts, actually exists."
60,oil painting,noun,"油画；油画艺术","The museum featured a stunning oil painting by a Dutch master.","She is taking a class to learn the techniques of oil painting.","A large oil painting of their ancestor hung above the fireplace."
61,marginal,adjective,"微不足道的，不重要的；边缘的；临界的；末端的, 边缘席位","The new policy had only a marginal impact on the company's overall profits.","The changes made to the document were marginal and did not affect its main points.","He lived a marginal existence, struggling to make ends meet."
62,excessive,adjective,"过多的，极度的；过分的","Excessive speed was the primary cause of the car accident.","He was warned about his excessive absences from work.","Drinking excessive amounts of sugary drinks can lead to health problems."
63,art,"noun, adjective, verb","（包括雕塑、绘画、音乐等的） 艺术，美术；美术（作）品；艺品（作）品；（表演）艺术；技术，技巧, 艺术的；艺术品的；具有艺术性的, be 的现在式第二人称单数形式","The museum has a vast collection of modern art from around the world.","She has perfected the art of baking the perfect chocolate cake.","He considers cooking to be a form of creative art."
65,democracy,noun,"民主，民主主义；民主政治","In a democracy, citizens have the right to vote for their leaders.","Freedom of speech is a cornerstone of any true democracy.","The nation peacefully transitioned from a monarchy to a democracy."
67,persecution,noun,"迫害；烦扰","Many people seek asylum in other countries to escape religious persecution.","The history of the minority group is filled with stories of suffering and persecution.","He was a victim of political persecution for speaking out against the government."
68,core,"noun, transitive verb","核心；要点；果心；[计] 磁心, 挖...的核","The core of the issue is a fundamental disagreement on values.","Honesty and integrity are at the core of his character.","The Earth has a molten iron core at its center."
70,rural,adjective,"农村的，乡下的；田园的，有乡村风味的","She prefers the quiet life of a rural town to the noise of a big city.","The government plans to improve internet access in rural areas.","Many people move from rural communities to urban centers in search of work."
71,nonprofit,adjective,"非营利的；不以营利为目的","She volunteers at a nonprofit organization that provides food for the homeless.","All the money raised from the event will be donated to a nonprofit charity.","The hospital operates as a nonprofit institution, reinvesting its earnings into patient care."
75,infrastructure,noun,"基础设施；公共建设；下部构造","The country needs to invest heavily in its aging infrastructure, including roads and bridges.","A robust infrastructure is crucial for supporting economic growth.","The earthquake caused severe damage to the city's public infrastructure."
