id,english word,type,chinese meaning,sentence1,sentence2,sentence3
1,feudal,adj.,封建制度的；领地的；世仇的,"The feudal system dominated medieval Europe.","The castle was the center of the feudal estate.","A long-standing feudal feud divided the two families."
2,geology,n.,地质学；地质情况,"She decided to study geology at university.","The geology of the region includes ancient volcanic rocks.","Understanding local geology helps in predicting earthquakes."
3,repay,v.,偿还；报答；报复；付还,"He promised to repay the loan by the end of the year.","How can I ever repay your kindness?","She vowed to repay his betrayal with silence."
4,teamwork,n.,团队合作；协力,"The project's success depended on effective teamwork.","Good teamwork requires clear communication.","They won the championship because of their excellent teamwork."
5,symmetry,n.,对称（性）；整齐，匀称,"The symmetry of the butterfly's wings is striking.","Architects often use symmetry to create a sense of balance.","The lack of symmetry in the design made it look unstable."
6,carbon neutral,n.,碳中和；碳平衡,"The company aims to become carbon neutral by 2030.","Planting trees can help offset emissions and achieve carbon neutral status.","Many consumers prefer products from carbon neutral companies."
7,depreciate,v.,使贬值；贬低；轻视,"New cars depreciate quickly in the first year.","Don't depreciate her efforts just because she's new.","The currency began to depreciate after the financial crisis."
8,succession,n.,连续；继位；继承权；[生态] 演替,"A succession of failures finally taught him a lesson.","The king's succession was disputed by his brother.","Ecological succession gradually transforms a barren field into a forest."
9,online,adj. & adv.,联机的；在线的,"She prefers shopping online rather than going to stores.","The game requires an online connection to play.","Our office systems are all online now."
10,income,n.,收入，收益；所得,"He needs a steady income to support his family.","Rental income provides her with extra money each month.","The government taxes income based on earnings."
11,ice age,n.,冰期；冰河时代,"Woolly mammoths lived during the last ice age.","An ice age can drastically alter the planet's climate.","Scientists study ice cores to understand the ice age cycles."
12,agent,n.,代理人，代理商；药剂；特工；动因,"The real estate agent helped them buy their first home.","Secret agent James Bond is a fictional character.","A cleaning agent was used to remove the stain."
13,chapter,n.,章，回；分会；人生或历史上的重要时期,"Please read chapter three for homework.","The local chapter of the club meets every Tuesday.","Moving to a new city closed an important chapter in his life."
14,entrepreneur,n.,企业家；承包人；主办者,"The young entrepreneur launched a successful tech startup.","Being an entrepreneur requires taking significant risks.","She is a serial entrepreneur with several businesses."
15,radical,adj. & n.,激进的；根本的；彻底的；基础；激进分子；[物化] 原子团；[数] 根数,"His radical ideas challenged the traditional norms.","The plan requires a radical overhaul of the system.","Free radicals can damage cells in the body."
16,gases,n.,气体；煤气；毒气；用毒气杀死；汽油,"Helium is one of the lighter inert gases.","The volcano emitted toxic gases into the atmosphere.","The factory's emissions include various greenhouse gases."
17,frugality,n.,俭省，节俭,"His frugality allowed him to retire at the age of fifty.","Practicing frugality means making mindful spending choices.","She learned frugality from her grandparents who lived through the war."
18,diplomatic,adj.,外交的；外交上的；老练的,"The two countries restored full diplomatic relations.","He gave a very diplomatic answer to avoid causing offense.","A diplomatic approach is often best for resolving conflicts."
19,tragedy,n.,悲剧；灾难；惨案,"Shakespeare's ""Hamlet"" is a famous tragedy.","The flood was a national tragedy that claimed many lives.","It would be a tragedy to lose such a historic building."
20,resonance,n.,[力] 共振；共鸣；反响,"The bridge collapsed due to structural resonance with the wind.","Her speech had a deep emotional resonance with the audience.","Magnetic resonance imaging (MRI) is a powerful medical tool."
21,religion,n.,宗教；宗教信仰,"Freedom of religion is a fundamental human right.","He turned to religion for comfort during a difficult time.","The ancient temples show the importance of religion in their culture."
22,motivate,v.,刺激，使有动机，激发…的积极性；成为……的动机；给出理由；申请,"A good teacher knows how to motivate her students.","Money is not the only thing that motivates employees.","The coach gave a speech to motivate the team before the game."
23,statistics,n.,统计；统计学；[统计] 统计资料；统计数字,"Statistics show that crime has fallen this year.","She is taking a course in statistics and data analysis.","Don't just believe the statistics; look at the real stories."
24,municipal,adj.,市政的，市的；地方自治的,"The municipal government is responsible for waste collection.","They visited the municipal library in the city center.","Municipal elections will be held next month."
25,allegiance,n.,效忠，忠诚；忠贞,"Citizens pledge allegiance to the flag.","His allegiance to the company was finally rewarded.","During the war, shifting allegiances were common."
26,picnic,n. & vi.,野餐；去野餐,"Let's have a picnic in the park on Sunday.","We packed a basket and went picnicking by the lake.","A sudden rainstorm ruined our beach picnic."
27,long-term,adj.,长期的；从长远来看,"The long-term effects of the drug are still unknown.","They are looking for a long-term rental agreement.","Investing requires a long-term perspective on the market."
28,buffet,n.,自助餐；小卖部；打击；猛烈冲击,"The hotel offers a breakfast buffet every morning.","The ship was buffeted by strong winds and heavy waves.","I prefer a buffet because I can choose what I like."
29,education,n.,教育；培养；教育学,"A good education is the key to a better future.","The government increased its budget for higher education.","Education does not stop when you leave school."
30,flood,n. & v.,洪水；涨潮；（诗/文）江河；（眼泪或感情）迸发；一大批；淹没；泛滥；充满，使大受感动；使）溢流；充斥；大量涌入；血崩,"Heavy rain caused the river to flood its banks.","A flood of applications arrived for the position.","Memories of her childhood flooded back when she visited her old home."
