id, english word, type, chinese meaning, sentence1, sentence2, sentence3
27, conduct, v./n./vt.,  组织，实施，进行；指挥（音乐）；行为举止；（管理）方式，（实施）办法；举止，表现；带领，引导；传导（热或电）, The manager will conduct an annual review of each employee's performance next week., Copper wires are used to conduct electricity efficiently in most electronic devices., The company's strict ethical conduct ensured that no laws were violated during the merger.
31, workforce, n.,  劳动力；工人总数，职工总数, The company's workforce has doubled in size over the past five years due to expansion., A highly skilled workforce is essential for competing in the global technology market., "Many factories are investing in automation to support their existing workforce, not replace it."
34, award, n./v.,  奖；（收入的）增加；（赔偿）裁定额；（毕业证书等的）授予；奖学金；把（某物）授予（某人）；把（合同、佣金）给（人、组织）, She received the highest award in the industry for her innovative approach to renewable energy., The committee decided to award the construction contract to the most experienced bidder., "Winning the Employee of the Month award came with a significant bonus and a reserved parking space."
35, individual, adj./n.,  个人的；个别的；独特的；个人，个体, Each individual shareholder has the right to vote on major company decisions., The CEO praised the team but also recognized the unique contributions of each individual., "As an individual contributor, you still have a responsibility to support your colleagues' projects."
43, asset, n.,  资产；优点；有用的东西；有利条件；财产；有价值的人或物, Her ability to speak three languages fluently is a major asset to the international sales team., "The company's balance sheet lists property and equipment as long-term assets.", A positive attitude is often considered an intangible but valuable asset in any workplace.
50, employee, n.,  雇员；从业员工, Every new employee must complete a safety training course before starting work., "The company offers health insurance and retirement plans to every full-time employee.", "As an employee, you have the right to report unsafe working conditions without fear of retaliation."
52, conference, n./vi., （每年的）大会；举行或参加（系列）会议, "The annual sales conference will be held in Chicago from May 10th to May 12th.", She will present her research findings at an international conference on climate change next month., "During the video conference, the manager outlined the new project timeline for the remote team."
59, promotion, n.,  晋升；推销，促销；促进；发扬，振兴, "After three years of excellent performance, she finally received a promotion to senior manager.", "The company launched a summer promotion offering 20% off all online orders.", A healthy diet and regular exercise can contribute to the promotion of long-term health.
60, base, n./adj./v.,  基底；基础；基地；基本成分；碱；（晶体管的）基极；词根；（数系的）基数；（棒球）垒；卑鄙的；低劣的；以……作基础；将……的活动中心设在某地, "The company's main manufacturing base is located in Ohio, with smaller offices nationwide.", We decided to base our marketing strategy on customer feedback from the last quarter., "The manager's arguments were base and driven by personal greed rather than logic."
62, foundation, n.,  基础；地基；基金会；根据；创立, Trust and honest communication are the foundation of any successful team., "The family foundation has donated over $10 million to local education programs.", Her strong background in economics provided a solid foundation for her career in finance.
67, disburse, vt.,  支付；支出, "The accounting department will disburse the payroll funds directly into employees' bank accounts.", "The non-profit organization plans to disburse all donated money to relief efforts by the end of the month.", "The treasurer has the authority to disburse funds for emergency repairs without prior board approval."
68, discount, n./vi./vt.,  折扣；贴现率；贴现；打折扣出售商品；打折扣；将…贴现；贬损；低估；忽视, Employees receive a 20% discount on all products sold in the company store., "Investors should not discount the potential risks associated with this rapidly changing market.", "The store manager decided to discount the damaged items by 50% to clear the inventory."
73, decision-making, adj./n.,  决策的；决策, "The board retained all decision-making power regarding the merger and acquisition.", "Effective decision-making requires gathering all relevant data before choosing a course of action.", "The company uses a team-based approach to decision-making to ensure diverse perspectives are heard."
78, improve, vt./vi.,  改善，增进；提高……的价值；增加；变得更好, "Taking online courses is a great way to improve your technical skills while working full-time.", "The new software update is designed to improve the speed and security of our network.", Regular feedback from clients helps us continuously improve our customer service.
79, remarkable, adj.,  卓越的；非凡的；值得注意的, "She made a remarkable recovery after the company's sales doubled in just six months.", "It is remarkable how much the team achieved with such limited resources and time.", "The engineer's remarkable ability to solve complex problems saved the project from failure."
80, essential, adj./n.,  基本的；必要的；本质的；精华的；本质；要素；要点；必需品, Reliable internet access is essential for employees who work from home., "The only essentials you need for this job are a laptop, a stable connection, and strong writing skills.", Meeting the project deadline is essential for maintaining our reputation with the client.
89, capital, n./adj.,  首都，省会；资金；大写字母；资本家；首都的；重要的；大写的, "The startup needs to raise $2 million in capital before it can begin mass production.", Capital punishment has been abolished in many countries around the world., "The CEO made a capital decision to invest heavily in research and development."
90, overall, adj./adv./n.,  全部的；全体的；一切在内的；全部地；总的说来；工装裤；罩衫, "The overall goal of the project is to reduce operational costs by 15% this year.", "Overall, the team performed very well, despite a few minor setbacks in the final quarter.", "When evaluating a job offer, you should consider the overall compensation package, not just the base salary."
93, invoice, n./vt.,  发票；货物；发货单；开发票；记清单, Please send the invoice for the office supplies to the accounting department for payment., "The freelancer will invoice the client upon completion of the website design project.", "We cannot process your order until we receive and verify the pro forma invoice."
96, deduction, n.,  扣除，减除；推论；减除额, "The deduction for health insurance premiums is taken directly from your gross pay each month.", "His brilliant deduction about the market trend allowed the company to avoid a major loss.", "You can claim a tax deduction for charitable donations made during the fiscal year."
