id,english work,type,chinese meaning,sentence 1,sentence 2,sentence 3
35,literary,adj.,文学的；书面的,"She was awarded the Nobel Prize for her outstanding literary work.","The book review appeared in the literary supplement of the Sunday newspaper.","His writing style is far too wordy and not very literary."
36,self-esteem,n.,自尊；自负；自大,"Receiving praise and encouragement can help a child build healthy self-esteem.","After losing his job, his self-esteem was at an all-time low.","She has an inflated sense of self-esteem and never admits she's wrong."
37,logical,adj.,合逻辑的；合理的,"Her argument was clear, concise, and perfectly logical.","It seems like the most logical solution to the problem at hand.","He has a very logical mind and is good at solving puzzles."
38,slip,vi.,滑动；滑倒；犯错,"Be careful not to slip on the wet floor in the bathroom.","He let his chance of a promotion slip through his fingers by being lazy.","I wrote his phone number on a slip of paper but I seem to have lost it."
39,regenerative,adj.,再生的；更新的,"Some lizards have the regenerative ability to grow back a lost tail.","The company is focusing on regenerative agriculture practices to improve soil health.","Stem cell research explores the regenerative potential of these special cells."
40,reptile,n.,爬行动物,"Snakes, lizards, turtles, and crocodiles are all examples of a reptile.","He was fascinated by the colorful reptile exhibit at the zoo.","She thinks all reptiles are slimy, but snake skin is actually very dry."
41,respiratory,adj.,呼吸的,"Smoking is a leading cause of many respiratory diseases, including lung cancer.","The patient was admitted to the hospital with an acute respiratory infection.","Wearing a mask can help protect your respiratory system from pollutants."
42,symbolize,vt.,象征；用符号表现,"The white dove is often used to symbolize peace and hope.","In many cultures, the color red is used to symbolize luck and prosperity.","The burning of the old building seemed to symbolize the end of an era."
43,poetry,n.,诗；诗意；诗歌艺术,"She writes beautiful poetry that expresses her deepest emotions.","His movements on the basketball court had a certain poetry and grace to them.","The Romantic era produced some of the English language's most beloved poetry."
44,expenditure,n.,支出；花费,"The new stadium project required a massive financial expenditure.","The government must find ways to cut public expenditure.","His monthly expenditure on coffee shops was surprisingly high."
45,reduction,n.,减少；下降,"There has been a significant reduction in the crime rate over the past decade.","The store is offering a huge price reduction on all winter coats.","Reduction of carbon emissions is a key goal for environmental policy."
46,deny,vt.,否定；否认,"The suspect continued to deny any involvement in the robbery.","She could not deny her daughter's request for a puppy.","The university was forced to deny his application due to poor grades."
47,emblem,n.,象征；徽章；符号,"The bald eagle is a national emblem of the United States.","The knight's shield bore the emblem of a golden lion.","The hammer and sickle was the official emblem of the Soviet Union."
48,book,n.,书籍；卷；账簿,"I'm currently reading a fascinating book about the history of salt.","We need to book a table at the restaurant for Saturday night.","The accountant checked the company's books for any financial irregularities."
49,optimistic,adj.,乐观的；乐观主义的,"Despite the setbacks, she remained optimistic about the project's future.","He has a naturally optimistic outlook on life and always sees the bright side.","Investors are feeling optimistic about the company's new CEO."
50,endurance,n.,忍耐力；耐久性；持续时间,"Running a marathon is a real test of physical and mental endurance.","The boxer's endurance allowed him to outlast his younger opponent.","This car is known for its reliability and long-term endurance."
51,predict,v.,预言；预知,"No one can accurately predict what the stock market will do next week.","The weather forecast is predicting heavy snow for the weekend.","It is difficult to predict the long-term consequences of climate change."
52,via,prep.,经由；通过；凭借,"We flew to Sydney via Hong Kong.","I sent the document to him via email this morning.","The news was announced via a live television broadcast."
53,digestive,adj.,消化的；助消化的,"Yogurt contains bacteria that are beneficial for the digestive system.","He often suffers from digestive problems after eating spicy food.","The snake's digestive juices can break down an entire rodent."
54,marine,adj.,船舶的；海生的；航海的,"The Great Barrier Reef is home to an incredible diversity of marine life.","He decided to pursue a career in marine biology to study dolphins.","The Marine Corps is a branch of the United States Armed Forces."
55,veto,n.,否决权,"The President has the power of veto over any bill passed by Congress.","The permanent members of the UN Security Council each hold a veto.","Her parents vetoed her plan to go backpacking alone in South America."
56,medium,n.,方法；媒体；媒介,"Television remains a powerful medium for advertising.","The artist works mainly in the medium of watercolor and ink.","The recipe says to cook the steak on medium heat for five minutes on each side."
57,mutual,adj.,共同的；相互的；彼此的,"Our partnership is based on mutual trust and respect.","They were introduced by a mutual friend and hit it off immediately.","The feeling of dislike was clearly mutual between the two rivals."
58,enhance,vt.,提高；加强；增加,"This software is designed to enhance the quality of digital photographs.","The beautiful lighting really enhances the atmosphere of the restaurant.","She took a public speaking course to enhance her presentation skills."
59,exhaust,v.,使精疲力尽；耗尽,"The long hike up the mountain completely exhausted the group of scouts.","The country's gold mines were completely exhausted by the turn of the century.","The bus left a cloud of black exhaust fumes behind it as it pulled away."
60,shortage,n.,缺乏；缺少；不足,"There is a severe water shortage in the region due to a prolonged drought.","The war led to a critical shortage of food and medical supplies.","The company had to delay production due to a shortage of skilled labor."
61,elaborate,adj.,精心制作的；详尽的,"The royal palace is known for its elaborate gold leaf decorations.","He came up with an elaborate excuse for why he was late to work.","Could you please elaborate on that final point you made in the meeting?"
62,objective,adj.,目的；目标,"My primary objective this year is to save enough money for a down payment.","The main objective of the game is to capture the opponent's flag.","It's hard to be completely objective when judging your own children."
63,pottery,n.,陶器,"She enrolled in a class to learn the ancient craft of making pottery.","The museum has an impressive collection of ancient Greek pottery.","He earns a modest living selling his handmade pottery at local markets."
64,time,n.,时间；时代；次数,"Do you have time for a quick cup of coffee?","The novel is set in a time of great social and political upheaval.","The world record time for the 100-meter dash is astonishingly fast."
65,benchmark,n.,基准,"The company uses its main competitor's performance as a benchmark for success.","These new test scores will serve as a benchmark to measure future improvement.","The Dow Jones Industrial Average is a key benchmark for the U.S. stock market."
66,observation,n.,观察；监视,"The patient was kept in the hospital overnight for observation.","She has keen powers of observation and notices details others miss.","His casual observation about the weather turned into a deep philosophical discussion."
67,amenities,n.,便利设施,"The hotel's amenities include a swimming pool, a gym, and a spa.","The neighborhood lacks basic amenities like a grocery store and a pharmacy.","Camping in the wilderness means sacrificing many of life's modern amenities."
68,melting,adj.,融化的；感人的；柔情似水的,"The sight of the puppy cuddling the kitten was a melting experience for everyone.","Add the cheese and stir continuously until it is completely melting.","He looked into her dark, melting eyes and knew he was in love."
