id,english work,type,chinese meaning,sentence 1,sentence 2,sentence 3
1,dormitory,n.,宿舍；学生宿舍,"The first-year students are required to live in the university dormitory.","Late-night noise is a common complaint in the crowded dormitory.","My dormitory room is small but cozy."
2,reliance,n.,信赖；信心；受信赖的人或物,"The nation's heavy reliance on imported oil makes it vulnerable to price shocks.","I have complete reliance on her judgment in these matters.","Her reliance on public transportation means she must always check the bus schedule."
3,lecture,n.,演讲；讲稿；教训,"The professor delivered a fascinating lecture on Renaissance art.","My dad gave me a long lecture about the dangers of driving too fast.","Attendance at the morning lecture is mandatory for all students."
4,cooperate,vi.,合作；配合；协力,"If everyone refuses to cooperate, the project will never get finished on time.","The witness agreed to cooperate fully with the police investigation.","The two countries decided to cooperate on a joint space mission."
5,plagiarism,n.,剽窃；剽窃物,"The journalist was fired for committing plagiarism in several of his articles.","Most universities have strict policies against academic plagiarism.","Using another writer's words without quotation marks is an act of plagiarism."
6,immigration,n.,外来移民；移居,"Ellis Island was a famous point of entry for immigration to the United States.","The government is debating a reform of its current immigration policies.","There was a large wave of immigration from Europe in the 19th century."
7,frustration,n.,挫折,"She expressed her frustration with the slow pace of the bureaucratic process.","He couldn't hide the frustration in his voice when the computer crashed again.","Learning a new language involves moments of both triumph and frustration."
8,comply,vi.,遵守；顺从；遵从,"All vehicles must comply with the new emissions standards regulations.","The company failed to comply with the court order to release the documents.","Please ensure that your building plans comply with local safety codes."
9,channel,n.,频道；途径；通道；海峡,"What channel is the football game on tonight?","Diplomacy is often the best channel for resolving international disputes.","The English Channel separates England from continental Europe."
10,wisdom,n.,智慧；才智；明智,"He questioned the wisdom of investing all his savings in a single stock.","In her old age, she imparted great wisdom to her grandchildren.","Conventional wisdom suggests that you should get eight hours of sleep."
11,recycling,n.,回收利用,"We need to do more to encourage the recycling of plastic and paper products.","The city provides separate bins for recycling and general waste.","Recycling aluminum cans saves a significant amount of energy."
12,credibility,n.,可信性；确实性,"The reporter's false story damaged the entire newspaper's credibility.","As a witness, his lack of memory severely hurt his credibility.","The new evidence lent credibility to the defendant's claims of innocence."
13,continental,adj.,大陆的；大陆性的,"Alaska is part of the continental United States but not connected by land.","The restaurant specializes in continental cuisine, particularly French and Italian dishes.","The climate in the Midwest is distinctly continental, with hot summers and cold winters."
14,drawing,n.,图画；素描术,"Leonardo da Vinci's drawing of the Vitruvian Man is world-famous.","She has always had a natural talent for drawing and painting.","The architect showed us the original drawing for the new building."
15,fertilizer,n.,肥料,"Farmers often use chemical fertilizer to increase crop yields.","The lawn needed some organic fertilizer to make it greener.","The run-off of fertilizer from fields can pollute nearby rivers and streams."
16,amplify,vt.,放大；扩大；增强,"The microphone system will amplify the speaker's voice so everyone can hear.","The media's coverage served only to amplify the public's fear.","Could you amplify your earlier statement? I'm not sure I fully understood."
17,technology,n.,技术；工艺,"Advances in medical technology have helped people live longer, healthier lives.","Many schools are investing heavily in new computer technology for the classroom.","The technology behind renewable energy sources is constantly improving."
18,concession,n.,让步；特许（权）；承认,"After hours of negotiation, both sides were finally willing to make a concession.","The company won a concession from the government to drill for oil in the area.","She admitted, as a concession, that his idea did have some merit."
19,Wi-Fi,abbr.,无线保真技术；无线上网技术,"Excuse me, does this café have free Wi-Fi for customers?","The hotel offers complimentary high-speed Wi-Fi in all its rooms.","My phone won't connect to the Wi-Fi network; is the password correct?"
20,motif,n.,主题；主旨；图形,"A recurring motif in the novel is the contrast between light and darkness.","The wallpaper had a delicate floral motif in shades of blue and gold.","The circular shape is a central motif in the building's modern design."
21,variable,adj.,可变的；易变的,"The weather in the mountains is notoriously variable and hard to predict.","In this experiment, temperature is the independent variable we will change.","The car's speed was variable, slowing down on hills and speeding up on flats."
22,flexible,adj.,灵活的；柔韧的；易弯曲的,"My new job has flexible hours, which is great for picking up the kids from school.","Yoga has helped me become much more flexible and less prone to injury.","We need a plan that is flexible enough to adapt to changing circumstances."
23,amicable,adj.,友好的；友善的,"Their divorce was surprisingly amicable, and they remain good friends.","The negotiations ended in an amicable agreement that satisfied both parties.","Despite their rivalry on the court, the two players have an amicable relationship off it."
24,parallel,adj.,平行的；类似的,"The railway tracks run parallel to the main highway for over a hundred miles.","Her career path has been remarkably parallel to that of her older sister.","Draw a line that is perfectly parallel to the top edge of the paper."
25,launch,v.,发射；发起；使下水,"The space agency plans to launch a new satellite next month.","The company will launch its latest smartphone model at a press event today.","We watched the team of workers launch the lifeboat into the rough sea."
26,density,n.,密度,"The population density of Hong Kong is one of the highest in the world.","Lead has a much greater density than aluminum.","The fog had a strange density that made it impossible to see more than a few feet."
27,ongoing,adj.,仍在进行的；持续存在的,"The investigation into the cause of the fire is still ongoing.","We have had an ongoing problem with mice in the basement for months.","Her ongoing support has been a huge source of strength for me."
28,prom,n.,正式舞会,"She spent weeks searching for the perfect dress to wear to the senior prom.","He finally mustered the courage to ask his crush to be his date for the prom.","The gymnasium was decorated with streamers and balloons for the prom."
29,textile,n.,纺织品；织物,"The textile industry was once the backbone of this region's economy.","She imports fine silk textiles from India for her fashion line.","The museum has a fascinating collection of ancient Peruvian textiles."
30,urbanization,n.,都市化,"Rapid urbanization has led to overcrowding and housing shortages in the capital.","The study examines the effects of urbanization on local wildlife habitats.","The process of urbanization has transformed the rural landscape in just a few decades."
31,equinox,n.,春分；秋分；昼夜平分点,"During the autumnal equinox, day and night are of nearly equal length all over the world.","The spring equinox marks the official beginning of the season of renewal.","Many ancient cultures built monuments aligned with the sun on the equinox."
32,excavation,n.,挖掘；发掘,"The archaeological excavation of the ancient Roman city has been going on for years.","Careful excavation of the site revealed a hidden burial chamber.","The excavation for the new building's foundation is now complete."
33,balance,n.,平衡；余额,"She lost her balance and fell off the bicycle.","It's important to strike a healthy balance between work and family life.","Could you please tell me the current balance of my checking account?"
34,production,n.,成果；产品；生产,"The factory had to halt production due to a shortage of parts.","The director's latest production is a modern adaptation of a Shakespeare play.","Mass production of the automobile began in the early 20th century."
